VM,Powerstate,Template,SRM Placeholder,Config status,DNS Name,Connection state,Guest state,Heartbeat,Consolidation Needed,PowerOn,Suspend time,Creation date,Change Version,# CPU,Memory,NICs,Disks,min Required EVC Mode Key ,Latency Sensitivity,EnableUUID,CBT,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Num Monitors,Video Ram KiB,Resource pool,Folder,vApp,DAS protection,FT State,FT Latency,FT Bandwidth,FT Sec. Latency,Provisioned MiB,In Use MiB,Unshared MiB,HA Restart Priority,HA Isolation Response,HA VM Monitoring,Cluster rule(s),Cluster rule name(s),Boot Required,Boot delay,Boot retry delay,Boot retry enabled,Boot BIOS setup,Firmware,HW version,HW upgrade status,HW upgrade policy,HW target,Path,Log directory,Snapshot directory,Suspend directory,Annotation,NB_LAST_BACKUP,Datacenter,Cluster,Host,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server type,VI SDK API Version,VMs,VI SDK Server,VI SDK UUID
bgr186qv1,poweredOn,False,False,green,BGR186QV1.bgr.com,connected,running,green,False,2024-05-11 01:12:04,,2020-06-08 19:30:05,2025-06-20 19:48:14,4,8192,0,2,intel-haswell,normal,True,True,172.20.1.85,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,356475,117688,117676,,,,,,False,0,10000,False,False,bios,8,none,never,,[DataStore_Aplicacion_1_UIO] bgr186qv1_1/bgr186qv1.vmx,[DataStore_Aplicacion_1_UIO] bgr186qv1_1/,[DataStore_Aplicacion_1_UIO] bgr186qv1_1/,[DataStore_Aplicacion_1_UIO] bgr186qv1_1/,,"Tue Jul  8 20:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx22.bgr.com,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14329,075eb80c-5df6-4eb5-96a4-3bf3e9b38368,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
bgr186vm1,poweredOn,False,False,green,bgr186vm1.bgr.com,connected,running,green,False,2025-01-11 12:22:08,,2020-05-05 23:25:25,2025-07-05 00:35:05,2,2048,0,2,intel-haswell,normal,,True,172.20.40.10,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,61473,23544,23541,,,,,,False,0,10000,False,False,bios,7,none,never,,[DataStore_Aplicacion_2_UIO] bgr186vm1/bgr186vm1.vmx,[DataStore_Aplicacion_2_UIO] bgr186vm1/,[DataStore_Aplicacion_2_UIO] bgr186vm1/,[DataStore_Aplicacion_2_UIO] bgr186vm1/,,"Sat Jul  5 18:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx22.bgr.com,Microsoft Windows 2000 Server,Microsoft Windows 2000 Server,vm-880,564dae0c-7dc2-5441-b7fd-a50100de0ae5,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
componentbgr,poweredOn,False,False,green,campanias.bgr.com.ec,connected,running,green,False,2024-04-08 05:34:02,,2020-05-06 01:18:43,2025-06-20 19:49:40,4,18432,0,1,intel-haswell,normal,,,200.115.34.134,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,307203,198314,198310,,,,,,False,0,10000,False,False,bios,4,none,never,,[DataStore_Aplicacion_2_UIO] componentbgr/componentbgr.vmx,[DataStore_Aplicacion_2_UIO] componentbgr/,[DataStore_Aplicacion_2_UIO] componentbgr/,[DataStore_Aplicacion_2_UIO] componentbgr/,,"Sat Jul  5 00:00:11 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_SinAccelerator",DCP,Cluster_Quito,ecbrprsx22.bgr.com,Other Linux (64-bit),CentOS 7 (64-bit),vm-875,423e1745-cccb-8f58-d615-97393fa89266,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
componentbgr3,poweredOn,False,False,green,notificaciones.bgr.com.ec,connected,running,green,False,2024-05-08 15:44:57,,2024-05-08 15:15:28,2025-07-03 02:30:49,8,16384,0,1,intel-haswell,normal,,True,172.20.115.32,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,556722,302614,302610,,,,,,False,3000,10000,False,False,bios,19,none,never,,[DataStore_Aplicacion_2_UIO] drcomponentbgr3/drcomponentbgr3.vmx,[DataStore_Aplicacion_2_UIO] drcomponentbgr3/,[DataStore_Aplicacion_2_UIO] drcomponentbgr3/,[DataStore_Aplicacion_2_UIO] drcomponentbgr3/,,"Sat Jul  5 18:00:20 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx20.bgr.com,CentOS 7 (64-bit),CentOS 7 (64-bit),vm-14053,422ea114-c207-66b5-d3f8-6d80d60f40aa,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbgr012002,poweredOn,False,False,green,ecbgr012002.uio.bpichincha.com,connected,running,green,False,2025-07-03 16:40:35,,2022-08-10 02:38:55,2025-07-06 07:52:11,2,2048,1,1,intel-haswell,normal,,True,172.20.41.36,VM_Test_41,,,,,,,,1.0,,/DCP/Cluster_Test/Resources,/DCP/Discovered virtual machine,,True,notConfigured,gray,-1,-1,58454,47130,45000,,,,,,False,0,10000,False,False,bios,8,none,never,,[DiskLun_Servidores_Test_Nimble_1] ecbgr012002/ecbgr012002.vmx,[DiskLun_Servidores_Test_Nimble_1] ecbgr012002/,[DiskLun_Servidores_Test_Nimble_1] ecbgr012002/,[DiskLun_Servidores_Test_Nimble_1] ecbgr012002/,,"Tue Jul  8 20:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Test,ecbrtssx05.bgr.com,Microsoft Windows Server 2003 Standard (32-bit),Microsoft Windows Server 2003 Standard (32-bit),vm-3204,423e851b-18ce-525c-cd91-99a419cb4a01,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrdsq04,poweredOn,False,False,green,ecbrdsq04.bgr.com,connected,running,green,False,2025-07-03 16:40:34,,2021-01-18 11:57:23,2025-07-07 10:04:49,4,10240,1,4,intel-haswell,normal,True,,172.20.41.124,VM_Test_41,,,,,,,,1.0,,/DCP/Cluster_Test/Resources,/DCP,,True,notConfigured,gray,-1,-1,4208726,3992504,3982178,,,,,,False,0,10000,False,False,bios,14,none,never,,[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/ecbrdsq04.vmx,[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/,[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/,[DiskLun_ecbrdsq04_3par10400] ecbrdsq04/,,,DCP,Cluster_Test,ecbrtssx06.bgr.com,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2016 or later (64-bit),vm-17652,422eae5b-da61-0887-4792-963b102d1437,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrlx01,poweredOn,False,False,green,ecbrlx01.bgr.com,connected,running,green,False,2025-07-04 21:28:05,,2020-01-13 13:30:21,2025-07-04 21:26:17,24,73728,1,4,intel-haswell,normal,,True,192.168.122.1,VM_Produccion_01,,,,,,,,1.0,,/DCP/Cluster_BI/Resources,/DCP,,,notConfigured,gray,-1,-1,1429705,1325022,1251093,,,,,,False,0,10000,False,False,bios,8,none,never,,[Datastore_ecbrprlx01_ecbrprbi01] ecbrprlx01/ecbrprlx01.vmx,[Datastore_ecbrprlx01_ecbrprbi01] ecbrprlx01/,[Datastore_ecbrprlx01_ecbrprbi01] ecbrprlx01/,[Datastore_ecbrprlx01_ecbrprbi01] ecbrprlx01/,,"Sun Jul  6 02:00:12 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,CentOS 4/5/6 (64-bit),Red Hat Enterprise Linux 7 (64-bit),vm-4140,6519eff0-2799-425e-b147-34e66e714e7e,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrlxav1,poweredOn,False,False,green,vision,connected,running,green,False,2025-04-17 15:25:33,,2022-11-07 14:51:44,2025-06-17 19:39:05,10,40960,0,1,intel-haswell,normal,,True,172.20.45.7,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,512002,460890,460887,,,,,,False,0,10000,False,False,bios,9,none,never,,[DataStore_Aplicacion_2_UIO] ecbrlxav1/ecbrlxav1.vmx,[DataStore_Aplicacion_2_UIO] ecbrlxav1/,[DataStore_Aplicacion_2_UIO] ecbrlxav1/,[DataStore_Aplicacion_2_UIO] ecbrlxav1/,,"Sat Jul  5 18:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx17.bgr.com,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),vm-7272,422ef92c-16e8-9214-37c2-bc2bb406d0da,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrpra03,poweredOn,False,False,green,ecbrpra03.bgr.com,connected,running,green,False,2021-06-12 13:37:44,,2021-04-01 15:32:19,2025-07-08 00:52:38,4,12288,0,2,intel-haswell,normal,True,True,172.20.1.106,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,512006,312016,312010,,,,,,False,0,10000,False,False,bios,8,none,never,,[DataStore_Aplicacion_2_UIO] ecbrprtemp1/ecbrprtemp1.vmx,[DataStore_Aplicacion_2_UIO] ecbrprtemp1/,[DataStore_Aplicacion_2_UIO] ecbrprtemp1/,[DataStore_Aplicacion_2_UIO] ecbrprtemp1/,,"Wed Jul  9 00:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx21.bgr.com,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-4201,422e622c-0b9e-4b6a-9abd-86e8dbd6affc,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprap1,poweredOn,False,False,green,ECBRPRAP1.bgr.com,connected,running,green,False,2024-04-20 05:07:39,,2021-11-12 14:17:45,2025-06-16 19:57:27,4,24576,0,2,intel-haswell,normal,True,True,172.20.55.36,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,296969,246904,246895,,,,,,False,0,10000,False,False,bios,8,none,never,,[DataStore_Aplicacion_1_UIO] ECBRPRAP1 _W2016/ECBRPRAP1 _W2016.vmx,[DataStore_Aplicacion_1_UIO] ECBRPRAP1 _W2016/,[DataStore_Aplicacion_1_UIO] ECBRPRAP1 _W2016/,[DataStore_Aplicacion_1_UIO] ECBRPRAP1 _W2016/,,"Tue Jul  8 20:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx15.bgr.com,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-4831,422e7003-9695-67f6-1b35-47107df074e4,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprap10,poweredOn,False,False,green,ECBRPRAP10.bgr.com,connected,running,green,False,2024-05-11 00:45:08,,2020-07-08 09:32:46,2025-06-21 15:36:49,8,20480,0,2,intel-haswell,normal,True,True,172.20.1.200,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,471043,301612,301608,,,,,,False,0,10000,False,False,bios,8,none,never,,[DataStore_Aplicacion_1_UIO] ecbrprap10_1/ecbrprap10.vmx,[DataStore_Aplicacion_1_UIO] ecbrprap10_1/,[DataStore_Aplicacion_1_UIO] ecbrprap10_1/,[DataStore_Aplicacion_1_UIO] ecbrprap10_1/,,"Sat Jul  5 08:00:15 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx21.bgr.com,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14269,2d9e737d-3b66-447b-90ed-ab569cb2d4f9,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprap12,poweredOn,False,False,green,ECBRPRAP12.bgr.com,connected,running,green,False,2024-05-11 00:45:46,,2020-07-08 09:33:59,2025-06-22 20:09:32,4,16384,0,2,intel-haswell,normal,True,True,172.20.1.202,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,291843,269566,269562,,,,,,False,0,10000,False,False,bios,8,none,never,,[DataStore_Aplicacion_1_UIO] ecbrprap12_1/ecbrprap12.vmx,[DataStore_Aplicacion_1_UIO] ecbrprap12_1/,[DataStore_Aplicacion_1_UIO] ecbrprap12_1/,[DataStore_Aplicacion_1_UIO] ecbrprap12_1/,,"Sat Jul  5 08:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx20.bgr.com,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14271,31759c77-4193-46e6-8f4b-0e48725631c2,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprap13,poweredOn,False,False,green,ECBRPRAP13.bgr.com,connected,running,green,False,2024-05-11 00:44:43,,2020-07-08 09:34:34,2025-06-20 19:50:49,4,16384,0,2,intel-haswell,normal,True,True,172.20.1.203,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,348164,288103,288098,,,,,,False,0,10000,False,False,bios,8,none,never,,[DataStore_Aplicacion_1_UIO] ecbrprap13_1/ecbrprap13.vmx,[DataStore_Aplicacion_1_UIO] ecbrprap13_1/,[DataStore_Aplicacion_1_UIO] ecbrprap13_1/,[DataStore_Aplicacion_1_UIO] ecbrprap13_1/,,"Sat Jul  5 08:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx22.bgr.com,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14268,353d7793-c0b6-42da-86ee-dea7ba423ec9,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
ecbrprap14,poweredOn,False,False,green,ECBRPRAP14.bgr.com,connected,running,green,False,2024-05-11 00:45:25,,2020-07-08 09:33:21,2025-07-08 16:35:24,4,16384,0,2,intel-haswell,normal,True,True,172.20.1.204,,,,,,,,,,,/DCP/Cluster_Quito/Resources,/DCP,,True,notConfigured,gray,-1,-1,204804,202529,202524,,,,,,False,0,10000,False,False,bios,8,none,never,,[DataStore_Aplicacion_1_UIO] ecbrprap14/ecbrprap14.vmx,[DataStore_Aplicacion_1_UIO] ecbrprap14/,[DataStore_Aplicacion_1_UIO] ecbrprap14/,[DataStore_Aplicacion_1_UIO] ecbrprap14/,,"Sat Jul  5 08:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx21.bgr.com,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14270,6ee25a94-1c44-404c-9819-43249531e584,VMware vCenter Server 8.0.3 build-24322831,,,172.20.1.174,172.20.1.174
