VM,Powerstate,Template,SRM Placeholder,Size MiB,Memory Reservation Locked To Max,Overhead,Max,Consumed,Consumed Overhead,Private,Shared,Swapped,Ballooned,Active,Entitlement,DRS Entitlement,Level,Shares,Reservation,Limit,Hot Add,Annotation,NB_LAST_BACKUP,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VMs,VI SDK Server,VI SDK UUID
ecbrprap17,poweredOn,False,False,16384,False,0,16384,16485,101,16384,0,0,0,655,16785,4938,normal,163840,0,-1,True,,"Sat Jul  5 08:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14372,dea470c1-e029-4517-95a1-d717a0bb9e1c,,172.20.1.174,172.20.1.174
ecbrprap2,poweredOn,False,False,10240,False,0,10240,10310,71,10240,0,0,0,921,10584,3732,normal,102400,0,-1,True,,"Wed Jul  9 00:00:13 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx19.bgr.com,/DCP,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 (64-bit),vm-14584,dd11b0ed-34a8-4261-884a-01cb7eb39f34,,172.20.1.174,172.20.1.174
ecbrprap21,poweredOn,False,False,8192,False,0,8192,8251,64,8188,4,0,0,1884,8936,7399,normal,81920,6144,-1,True,,"Sat Jul  5 08:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx17.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),vm-14364,33660fa3-86d0-44e6-9dab-5c57d45ad66a,,172.20.1.174,172.20.1.174
ecbrprap23,poweredOn,False,False,6144,False,0,6144,6193,52,6142,2,0,0,1474,6857,6854,normal,61440,6144,-1,True,,"Sat Jul  5 18:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx21.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),vm-7739,422ebefa-1f64-221e-2aad-3c84a29c5825,,172.20.1.174,172.20.1.174
ecbrprap3,poweredOn,False,False,7168,False,0,7168,7234,67,7168,0,0,0,1218,7503,3105,normal,71680,0,-1,True,,"Wed Jul  9 00:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx15.bgr.com,/DCP,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2012 (64-bit),vm-459,423e1ffb-efe5-c0e7-9f5c-d298413d1247,,172.20.1.174,172.20.1.174
ecbrprap5,poweredOn,False,False,12288,False,0,12288,12363,80,12284,4,0,0,1474,12637,4617,normal,122880,0,-1,True,,"Wed Jul  9 00:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_Quito,ecbrprsx15.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-460,423e3b5d-7fc2-2b0d-36da-ee149699fc88,,172.20.1.174,172.20.1.174
ecbrprap6,poweredOn,False,False,8192,True,0,8192,8252,61,8192,0,0,0,1802,8503,8502,normal,81920,8192,-1,True,,"Sat Jul  5 08:00:16 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx15.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14366,31a3ad8a-079e-47ea-b422-24b09641d607,,172.20.1.174,172.20.1.174
ecbrprap7,poweredOn,False,False,8192,False,0,8192,8252,61,8192,0,0,0,1802,8503,4324,normal,81920,0,-1,True,,"Sat Jul  5 08:00:17 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx21.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14346,049a32f5-d6fb-47cf-bf3d-4b4a230130e2,,172.20.1.174,172.20.1.174
ecbrprarb01,poweredOn,False,False,6144,False,0,6144,6203,60,6144,0,0,0,2580,5829,3654,normal,61440,0,-1,True,,"Sun Jul  6 02:00:09 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Cluster_BI",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-349,423e861e-575b-99cf-47cc-b530c0fd3d3f,,172.20.1.174,172.20.1.174
ecbrprbi01,poweredOn,False,False,65536,False,0,65536,37526,180,37346,4,0,0,3276,62168,12162,normal,655360,0,-1,True,,"Wed Jul  9 00:00:14 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_02",DCP,Cluster_BI,ecbrprsx31.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-7618,422e52a6-99e8-7f3b-5dbd-12a7608bc95c,,172.20.1.174,172.20.1.174
ecbrprcas02,poweredOn,False,False,6144,False,0,6144,6200,57,6144,0,0,0,1044,6465,2814,normal,61440,0,-1,True,,"Tue Jul  8 20:00:15 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx18.bgr.com,/DCP,Microsoft Windows Server 2008 R2 (64-bit),Microsoft Windows Server 2008 R2 (64-bit),vm-873,564dfd77-d81e-a9a4-7c63-7eba2c09f949,,172.20.1.174,172.20.1.174
ecbrprcc01,poweredOn,False,False,6144,False,0,6144,6198,55,6144,0,0,0,1966,6448,3839,normal,61440,0,-1,True,,"Tue Jul  8 20:00:18 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx20.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14310,a4f9aa17-767b-458e-90b8-45712cd23165,,172.20.1.174,172.20.1.174
ecbrprcert01,poweredOn,False,False,4096,False,0,4096,4141,46,4096,0,0,0,491,4436,1769,normal,40960,0,-1,True,,,DCP,Cluster_Quito,ecbrprsx15.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-45288,422ee8ae-b4e2-bfa6-4970-3fbfd4878f0a,,172.20.1.174,172.20.1.174
ecbrprcf01,poweredOn,False,False,4096,False,0,4096,4142,47,4096,0,0,0,2048,4386,3021,normal,40960,0,-1,True,,"Sat Jul  5 08:00:17 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_1",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-14312,a3664a02-07de-40b3-86e6-cce219d7b0fa,,172.20.1.174,172.20.1.174
ecbrprci1,poweredOn,False,False,16384,False,0,16384,16451,90,16362,16,0,0,3112,16755,6943,normal,163840,0,-1,True,,"Sat Jul  5 18:00:23 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2012 (64-bit),vm-992,423e1db7-a806-fa6a-a8e9-2b06f955b7e6,,172.20.1.174,172.20.1.174
ecbrprcl1,poweredOn,False,False,32768,False,0,32768,32926,159,32768,0,0,0,5242,33290,12154,normal,327680,0,-1,True,,,DCP,Cluster_Quito,ecbrprsx13.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-10889,7bc24f36-5055-4d35-857f-c88c54b590d3,,172.20.1.174,172.20.1.174
ecbrprcl10,poweredOn,False,False,40960,False,0,40960,40672,187,40486,2,0,0,4915,41955,15724,normal,409600,6144,-1,True,,,DCP,Cluster_Quito,ecbrprsx14.bgr.com,/DCP,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),vm-7639,422e13e3-e4c2-a20f-6b97-d54f139638a8,,172.20.1.174,172.20.1.174
ecbrprcl11,poweredOn,False,False,47104,False,0,47104,45691,180,45511,1593,0,0,4710,47663,15751,normal,471040,0,-1,True,,,DCP,Cluster_Quito,ecbrprsx13.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-7699,422e4bfd-e481-0e16-623e-9fef295cedc2,,172.20.1.174,172.20.1.174
ecbrprcl12,poweredOn,False,False,47104,False,0,47104,21896,153,21744,9012,0,0,5181,47703,8366,normal,471040,0,-1,True,,,DCP,Cluster_Quito,ecbrprsx14.bgr.com,/DCP,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-43563,422e79e1-61bc-cbfb-0420-604a6470ad6a,,172.20.1.174,172.20.1.174
ecbrprcl13,poweredOn,False,False,81920,False,0,81920,67195,322,66874,3468,0,0,19660,82855,32275,normal,819200,0,-1,True,Cluster movido a ECBRPRSX20 por petición de Bernardo Jaramillo en el CC RFC 2025-000413.,,DCP,Cluster_Quito,ecbrprsx20.bgr.com,/DCP,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-10778,422ea5ca-0136-4ad4-7e39-37b9f1c37f05,,172.20.1.174,172.20.1.174
ecbrprcl14,poweredOn,False,False,81920,False,0,81920,66615,334,66282,13602,0,0,13107,82855,27581,normal,819200,0,-1,True,Cluster movido a ECBRPRSX19 por petición de Bernardo Jaramillo en el CC RFC 2025-000413.,,DCP,Cluster_Quito,ecbrprsx19.bgr.com,/DCP,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-10779,422e35ca-4d29-7d1f-a27a-e6690c1fa8e5,,172.20.1.174,172.20.1.174
ecbrprcl2,poweredOn,False,False,32768,False,0,32768,32926,159,32768,0,0,0,1310,33291,9746,normal,327680,0,-1,True,,,DCP,Cluster_Quito,ecbrprsx14.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-7627,4a364e18-dc54-4a85-ad3e-d6f0a480da9a,,172.20.1.174,172.20.1.174
ecbrprcl5,poweredOn,False,False,36864,False,0,36864,36909,174,36735,2,0,0,4792,37425,13725,normal,368640,0,-1,True,,,DCP,Cluster_Quito,ecbrprsx13.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-7668,422e47b5-e8de-4edb-0310-a5d7b9f8c48c,,172.20.1.174,172.20.1.174
ecbrprcl6,poweredOn,False,False,36864,False,0,36864,36908,175,36734,2,0,0,1843,37426,11292,normal,368640,0,-1,True,,,DCP,Cluster_Quito,ecbrprsx14.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-7669,422e8b9c-1619-a537-8830-1d7210102541,,172.20.1.174,172.20.1.174
ecbrprcl7,poweredOn,False,False,16384,False,0,16384,16482,103,16380,0,0,0,2293,16785,6117,normal,163840,0,-1,True,,,DCP,Cluster_Quito,ecbrprsx13.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-7633,422e9011-6005-cb79-ebe3-300c6e3a4376,,172.20.1.174,172.20.1.174
ecbrprcl8,poweredOn,False,False,16384,False,0,16384,16481,100,16382,0,0,0,1146,16785,5577,normal,163840,0,-1,True,,,DCP,Cluster_Quito,ecbrprsx14.bgr.com,/DCP,Microsoft Windows Server 2012 (64-bit),Microsoft Windows Server 2016 (64-bit),vm-7635,422ec55b-b154-ff54-1987-a361ad2578f7,,172.20.1.174,172.20.1.174
ecbrprcl9,poweredOn,False,False,40960,False,0,40960,40677,188,40487,87,0,0,2457,41591,15361,normal,409600,6144,-1,True,,,DCP,Cluster_Quito,ecbrprsx13.bgr.com,/DCP,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),vm-7638,422eb18f-842d-98f7-dbda-ea21880a8577,,172.20.1.174,172.20.1.174
ecbrprct1,poweredOn,False,False,8192,False,0,8192,8262,78,8184,0,0,0,1392,8568,5422,normal,80000,4000,-1,True,,"Sat Jul  5 18:00:20 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Red Hat Enterprise Linux 6 (64-bit),CentOS 7 (64-bit),vm-993,423ee9f5-07fd-76e7-99a1-c051c32d90a4,,172.20.1.174,172.20.1.174
ecbrprct2,poweredOn,False,False,8192,False,0,8192,6684,76,6608,0,0,0,1310,8568,5028,normal,81920,4000,-1,True,,"Sat Jul  5 18:00:17 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx22.bgr.com,/DCP,Red Hat Enterprise Linux 6 (64-bit),CentOS 7 (64-bit),vm-48232,9a95fe4b-7f59-4886-9bf1-60664cf15995,,172.20.1.174,172.20.1.174
ecbrprct3,poweredOn,False,False,4608,False,0,4608,4493,53,4440,0,0,0,230,5330,5162,normal,46080,4608,-1,False,,"Sat Jul  5 18:00:17 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx18.bgr.com,/DCP,Red Hat Enterprise Linux 7 (64-bit),Red Hat Enterprise Linux 7 (64-bit),vm-5964,422e5ebb-29eb-1211-c7e9-d9206a6388ea,,172.20.1.174,172.20.1.174
ecbrprct4,poweredOn,False,False,1024,False,0,1024,1061,37,1024,0,0,0,71,1706,1706,normal,10240,1024,-1,False,,"Sat Jul  5 18:00:17 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Datastore_Aplicacion_2",DCP,Cluster_Quito,ecbrprsx18.bgr.com,/DCP,Red Hat Enterprise Linux 7 (64-bit),Red Hat Enterprise Linux 7 (64-bit),vm-5963,422ee461-ad9b-06cd-ca6e-526ed4182aaa,,172.20.1.174,172.20.1.174
ECBRPRE01,poweredOn,False,False,12288,False,0,12288,12364,79,12286,2,0,0,2211,12688,5093,normal,122880,0,-1,True,,"Tue Jul  8 20:00:13 2025 -0500,ecbrprps1.bgr.com,Prod_UIO_VM_Archivos_01",DCP,Cluster_Quito,ecbrprsx20.bgr.com,/DCP,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),vm-27354,422e9e3d-31cb-a307-aa0b-223e40ba4a39,,172.20.1.174,172.20.1.174
