Server Group,Server Asset,Server Machine,Server IP,Server Process,Wave,Migration Strategy,Business Application
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Web App (MP_MP5),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Web App (MP_Security),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,mongodb,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Web App (MP_Consulta),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,monitornode,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Service Host (Windows Event Log),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Web App (MP_InitialDataLoading),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Web App (MP_Config),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Internet Information Services,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Web App (MP_Alerts),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Web App (Web Services-Management),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Trend Micro Endpoint Basecamp,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Web App (MP_Log),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Web App (MP_Dashboard),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,***$#Product*Name#$***,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,vault.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,HP Data Protector,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Web App (DefaultAppPool + FORMULARIOS + MONITOR + MSMQ),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Windows Start-Up Application,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Web App (MP_Services),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Web App (MP_EcoSystem),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Monitor Plus®,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ecbrprw60,172.20.1.208,Microsoft Windows Operating System,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,FlexNet Manager Platform,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,Trend Micro Anti-Malware Solution Platform,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,Host Process for Windows Tasks,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,rapid7_agent_core.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,rapid7_endpoint_broker.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,dsa-connect.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,Trend Micro Endpoint Basecamp,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,Chromium,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,Trend Micro Cloud Endpoint,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,Chrome Web Browser,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,Java,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,p_ctmatw,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,Dynatrace Security Gateway,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,Dynatrace Watchdog Agent,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,Web App (RequestQueue),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,Java (ag-app.jar),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,Trend Micro Deep Security Agent,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,Web App (Web Services-Management),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,Microsoft Windows Operating System,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,Java (com.compuware.apm.collector.core.CollectorImpl),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,Dynatrace,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,Dynatrace Gateway,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,Windows Start-Up Application,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,Insight Agent,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,Control-M,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,End-User Application,ECBRPRTI08,172.20.1.108,Java (com.ruxit.vuc.VucMain),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Software Development,ECBRPRCF01,172.20.1.110,dsa-connect.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Software Development,ECBRPRCF01,172.20.1.110,rapid7_agent_core.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Software Development,ECBRPRCF01,172.20.1.110,Trend Micro Cloud Endpoint,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Software Development,ECBRPRCF01,172.20.1.110,Host Process for Windows Tasks,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Software Development,ECBRPRCF01,172.20.1.110,FlexNet Manager Platform,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Software Development,ECBRPRCF01,172.20.1.110,Trend Micro Anti-Malware Solution Platform,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Software Development,ECBRPRCF01,172.20.1.110,Trend Micro Endpoint Basecamp,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Software Development,ECBRPRCF01,172.20.1.110,rapid7_endpoint_broker.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Software Development,ECBRPRCF01,172.20.1.110,***$#Product*Name#$***,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Software Development,ECBRPRCF01,172.20.1.110,Microsoft Windows Operating System,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Software Development,ECBRPRCF01,172.20.1.110,Dynatrace,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Software Development,ECBRPRCF01,172.20.1.110,HP Data Protector,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Software Development,ECBRPRCF01,172.20.1.110,Web App (Web Services-Management),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Software Development,ECBRPRCF01,172.20.1.110,Windows Start-Up Application,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Software Development,ECBRPRCF01,172.20.1.110,Insight Agent,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Software Development,ECBRPRCF01,172.20.1.110,Team Foundation Server,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Software Development,ECBRPRCF01,172.20.1.110,Trend Micro Deep Security Agent,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,FlexNet Manager Platform,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,Trend Micro Anti-Malware Solution Platform,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,Host Process for Windows Tasks,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,Service Host,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,Dynatrace,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,rapid7_agent_core.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,dsa-connect.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,rapid7_endpoint_broker.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,.NET Framework,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,Trend Micro Cloud Endpoint,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,HP Insight Remote Support,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,Java (com.hp.uca.integration.IntegrationRunner),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,Java (com.hp.uca.hprsexecution.HPRSExecutionManager),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,HP Systems Insight Manager,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,Windows Start-Up Application,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,WMI Mapper,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,ssh,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,Trend Micro Endpoint Basecamp,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,Java (com.compaq.svctools.desta.core.DESTAController),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,Service Host (Windows Event Log),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,Microsoft SQL Server,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,Trend Micro Deep Security Agent,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,Commons Daemon Service Runner,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,Java (com.hp.uca.listeners.ListenerService),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,Java (com.hp.uca.ui.JettyServer),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,Postgresql,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,HP System Management Homepage (SMH),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,Web App (Web Services-Management),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,Insight Agent,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,HP Data Protector,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,Microsoft Windows Operating System,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ecbrprti03,172.20.1.157,***$#Product*Name#$***,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,Trend Micro Cloud Endpoint,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,ssh,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,dsa-connect.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,PuTTY suite,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,FlexNet Manager Platform,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,rapid7_agent_core.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,Trend Micro Endpoint Basecamp,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,Trend Micro Anti-Malware Solution Platform,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,rapid7_endpoint_broker.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,System,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,Host Process for Windows Tasks,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,WinSCP.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,WinSCP,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,SrvProcesaRespuestaCobrosPagosCash.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,SrvProcesaRespuestaSPICash.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,SrvCobrosPagosRecaudacionBgr.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,SrvCobrosPagosRecaudacion.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,SrvReintentosReversoCash.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,SrvProcesarNotificacionPagosCash.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,p_ctmatw,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,Service Host,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,Dynatrace,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,Service Host (Windows Management Instrumentation),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,Windows Start-Up Application,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,Insight Agent,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,Web App (Web Services-Management),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,Java (ag-app.jar),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,Microsoft Windows Operating System,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,Web App (RequestQueue),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,Trend Micro Deep Security Agent,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,Service Host (Windows Event Log),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Script or programmer wrapped/platform;IT Communications,ECBRPRAP21,172.20.1.21,Control-M,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Microsoft SharePoint,ECBRPRW69,172.20.1.229,Host Process for Windows Tasks,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Microsoft SharePoint,ECBRPRW69,172.20.1.229,FlexNet Manager Platform,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Microsoft SharePoint,ECBRPRW69,172.20.1.229,rapid7_agent_core.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Microsoft SharePoint,ECBRPRW69,172.20.1.229,rapid7_endpoint_broker.exe,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Microsoft SharePoint,ECBRPRW69,172.20.1.229,Trend Micro Anti-Malware Solution Platform,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Microsoft SharePoint,ECBRPRW69,172.20.1.229,IIS Worker Process (SecurityTokenServiceApplicationPool),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Microsoft SharePoint,ECBRPRW69,172.20.1.229,IIS Worker Process (Service_PortalRiesgoOperativo),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Microsoft SharePoint,ECBRPRW69,172.20.1.229,IIS Worker Process (871bc5c8f93943ecb29647ba7fa8dbc4),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Microsoft SharePoint,ECBRPRW69,172.20.1.229,Trend Micro Cloud Endpoint,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Microsoft SharePoint,ECBRPRW69,172.20.1.229,Windows Start-Up Application,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Microsoft SharePoint,ECBRPRW69,172.20.1.229,HP Data Protector,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Microsoft SharePoint,ECBRPRW69,172.20.1.229,Trend Micro Endpoint Basecamp,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Microsoft SharePoint,ECBRPRW69,172.20.1.229,SharePoint,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Microsoft SharePoint,ECBRPRW69,172.20.1.229,Web App (ARR + DefaultAppPool),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Microsoft SharePoint,ECBRPRW69,172.20.1.229,Web App (SecurityTokenServiceApplicationPool + Service_PortalRiesgoOperativo + _VTI_BIN/STS),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Microsoft SharePoint,ECBRPRW69,172.20.1.229,Web App (DefaultAppPool),Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Microsoft SharePoint,ECBRPRW69,172.20.1.229,Microsoft Windows Operating System,Backlog,Rehost,-
BANCO GENERAL RUMI AHUI S. A,Microsoft SharePoint,ECBRPRW69,172.20.1.229,Web App (Web Services-Management),Backlog,Rehost,-
